Cut Edges,Presidential Democratic Districts,Presidential Republican Districts,Presidential Efficiency Gap,Governor Democratic Districts,Governor Republican Districts,Governor Efficiency Gap
726.0,3.0,5.0,-0.14296015180265656,3.0,5.0,-0.13442575262478204
755.0,3.0,5.0,-0.14949692229370112,3.0,5.0,-0.14122401188558253
698.0,3.0,5.0,-0.1544200182039771,3.0,5.0,-0.14628970502953592
664.0,3.0,5.0,-0.1544200182039771,3.0,5.0,-0.14628970502953592
638.0,3.0,5.0,-0.1544200182039771,3.0,5.0,-0.14628970502953592
647.0,3.0,5.0,-0.1544200182039771,3.0,5.0,-0.14628970502953598
686.0,3.0,5.0,-0.1544200182039771,3.0,5.0,-0.14628970502953598
687.0,3.0,5.0,-0.1544200182039771,3.0,5.0,-0.14628970502953598
709.0,3.0,5.0,-0.14539146264327918,3.0,5.0,-0.13719239284016047
723.0,3.0,5.0,-0.14250752071088074,3.0,5.0,-0.1350788889783201
793.0,3.0,5.0,-0.14250752071088074,3.0,5.0,-0.1350788889783201
779.0,3.0,5.0,-0.14913685379738048,3.0,5.0,-0.1418002616981747
713.0,3.0,5.0,-0.14913685379738048,3.0,5.0,-0.1418002616981747
674.0,3.0,5.0,-0.14913685379738048,3.0,5.0,-0.1418002616981747
687.0,3.0,5.0,-0.14913685379738048,3.0,5.0,-0.1418002616981747
720.0,3.0,5.0,-0.14945526912574628,3.0,5.0,-0.14228679896172597
712.0,3.0,5.0,-0.14292343530645932,3.0,5.0,-0.13514837858443357
696.0,3.0,5.0,-0.14292343530645932,3.0,5.0,-0.13514837858443352
675.0,3.0,5.0,-0.14145631816849477,3.0,5.0,-0.13301035224553587
753.0,3.0,5.0,-0.14145631816849477,3.0,5.0,-0.13301035224553584
711.0,3.0,5.0,-0.14096234245074898,3.0,5.0,-0.13269042517974425
694.0,3.0,5.0,-0.14096234245074898,3.0,5.0,-0.13269042517974425
695.0,3.0,5.0,-0.14096234245074898,3.0,5.0,-0.13269042517974425
720.0,3.0,5.0,-0.1382283519229879,3.0,5.0,-0.1295468936048899
728.0,3.0,5.0,-0.13893244473241698,3.0,5.0,-0.130169094472578
655.0,3.0,5.0,-0.13893244473241698,3.0,5.0,-0.130169094472578
646.0,3.0,5.0,-0.1422005214359544,3.0,5.0,-0.13354207254688422
666.0,3.0,5.0,-0.1367291464185989,3.0,5.0,-0.12798878006597197
729.0,3.0,5.0,-0.1367291464185989,3.0,5.0,-0.12798878006597197
683.0,3.0,5.0,-0.1367291464185989,3.0,5.0,-0.12798878006597203
689.0,3.0,5.0,-0.13252896437882786,3.0,5.0,-0.12353021573697553
662.0,3.0,5.0,-0.13252896437882786,3.0,5.0,-0.12353021573697553
669.0,2.0,6.0,-0.26083460606902087,2.0,6.0,-0.25355918860693133
685.0,2.0,6.0,-0.26083460606902087,2.0,6.0,-0.25355918860693144
672.0,3.0,5.0,-0.13252896437882786,2.0,6.0,-0.24757449089410452
716.0,3.0,5.0,-0.131929775844248,2.0,6.0,-0.2470323710451498
714.0,3.0,5.0,-0.131929775844248,2.0,6.0,-0.24703237104514975
773.0,3.0,5.0,-0.131929775844248,2.0,6.0,-0.24703237104514975
