Cut Edges,Democratic Districts,Republican Districts,Efficiency Gap
684.0,2.0,6.0,-0.2725243362490551
681.0,2.0,6.0,-0.2744962280742352
697.0,2.0,6.0,-0.27677326792243256
710.0,2.0,6.0,-0.27677326792243256
693.0,2.0,6.0,-0.27677326792243256
682.0,2.0,6.0,-0.27677326792243256
686.0,2.0,6.0,-0.27677326792243256
711.0,2.0,6.0,-0.26531309297912714
728.0,2.0,6.0,-0.26531309297912714
742.0,2.0,6.0,-0.26531309297912714
737.0,2.0,6.0,-0.264828064978942
741.0,2.0,6.0,-0.264828064978942
721.0,2.0,6.0,-0.264828064978942
748.0,2.0,6.0,-0.264828064978942
716.0,2.0,6.0,-0.264828064978942
687.0,2.0,6.0,-0.25706052051032846
675.0,2.0,6.0,-0.2598324617022261
697.0,2.0,6.0,-0.2598324617022261
714.0,2.0,6.0,-0.2633415096959319
718.0,2.0,6.0,-0.26220329831381806
730.0,2.0,6.0,-0.2583178290985946
752.0,2.0,6.0,-0.26736088613258047
763.0,2.0,6.0,-0.26736088613258047
749.0,2.0,6.0,-0.26736088613258047
715.0,2.0,6.0,-0.2692673670569723
730.0,2.0,6.0,-0.26910939356072877
736.0,2.0,6.0,-0.2634818962990389
726.0,2.0,6.0,-0.2646994029712593
733.0,2.0,6.0,-0.2646994029712593
746.0,2.0,6.0,-0.27182795698924733
746.0,2.0,6.0,-0.2666756143842273
783.0,2.0,6.0,-0.26818901281991947
789.0,2.0,6.0,-0.26818901281991947
772.0,2.0,6.0,-0.26818901281991947
729.0,2.0,6.0,-0.26818901281991947
711.0,2.0,6.0,-0.2687085975224079
729.0,2.0,6.0,-0.2687085975224079
736.0,2.0,6.0,-0.2603480353589115
759.0,2.0,6.0,-0.2618975332068311
740.0,2.0,6.0,-0.2618975332068311
728.0,2.0,6.0,-0.26779284491137134
695.0,2.0,6.0,-0.2558568982274263
686.0,2.0,6.0,-0.2558568982274263
643.0,2.0,6.0,-0.2558568982274263
641.0,2.0,6.0,-0.2558568982274263
654.0,2.0,6.0,-0.257055275296586
654.0,2.0,6.0,-0.257055275296586
684.0,2.0,6.0,-0.257055275296586
645.0,2.0,6.0,-0.257055275296586
692.0,2.0,6.0,-0.257055275296586
734.0,2.0,6.0,-0.2560898474259885
764.0,2.0,6.0,-0.2560898474259885
688.0,2.0,6.0,-0.2570052914950402
742.0,2.0,6.0,-0.2570052914950402
748.0,2.0,6.0,-0.26153839033646503
744.0,2.0,6.0,-0.26327949275697693
740.0,2.0,6.0,-0.26327949275697693
822.0,2.0,6.0,-0.26327949275697693
816.0,2.0,6.0,-0.26327949275697693
805.0,2.0,6.0,-0.2621388130389843
770.0,2.0,6.0,-0.2621388130389843
800.0,2.0,6.0,-0.2668388330942133
792.0,2.0,6.0,-0.2668388330942133
778.0,2.0,6.0,-0.25711112139584397
788.0,2.0,6.0,-0.25711112139584397
760.0,2.0,6.0,-0.2543833017077799
711.0,2.0,6.0,-0.2543833017077799
726.0,2.0,6.0,-0.2543833017077799
701.0,2.0,6.0,-0.2580456950679564
714.0,2.0,6.0,-0.2580456950679564
714.0,2.0,6.0,-0.2580456950679564
734.0,2.0,6.0,-0.2580456950679564
720.0,2.0,6.0,-0.2580456950679564
715.0,2.0,6.0,-0.25705126425078295
720.0,2.0,6.0,-0.25510313015843633
717.0,2.0,6.0,-0.2646253528948952
738.0,2.0,6.0,-0.2646253528948952
702.0,2.0,6.0,-0.2646253528948952
752.0,2.0,6.0,-0.25449406828034127
702.0,2.0,6.0,-0.25449406828034127
710.0,2.0,6.0,-0.25449406828034127
715.0,2.0,6.0,-0.2544462442726894
749.0,2.0,6.0,-0.2544462442726894
741.0,2.0,6.0,-0.2588176671140525
771.0,2.0,6.0,-0.2588176671140525
761.0,2.0,6.0,-0.2588176671140525
769.0,2.0,6.0,-0.2588176671140525
761.0,2.0,6.0,-0.2588176671140525
777.0,2.0,6.0,-0.2588176671140525
769.0,2.0,6.0,-0.2588176671140525
801.0,2.0,6.0,-0.2588176671140525
734.0,2.0,6.0,-0.2661967572237392
753.0,2.0,6.0,-0.2661967572237392
777.0,2.0,6.0,-0.2628947409018682
729.0,2.0,6.0,-0.2628947409018682
720.0,2.0,6.0,-0.2628947409018682
727.0,2.0,6.0,-0.2628947409018682
729.0,2.0,6.0,-0.25839249625892846
711.0,2.0,6.0,-0.25839249625892846
716.0,2.0,6.0,-0.25839249625892846
711.0,2.0,6.0,-0.25839249625892846
694.0,2.0,6.0,-0.25839249625892846
759.0,2.0,6.0,-0.24763672266703693
742.0,2.0,6.0,-0.24763672266703693
684.0,2.0,6.0,-0.24763672266703693
713.0,2.0,6.0,-0.25303435615001313
746.0,2.0,6.0,-0.261007698122522
765.0,2.0,6.0,-0.261007698122522
755.0,2.0,6.0,-0.2606312769010043
746.0,2.0,6.0,-0.2533709754554851
748.0,2.0,6.0,-0.2533709754554851
778.0,2.0,6.0,-0.2533709754554851
761.0,2.0,6.0,-0.25383101155489735
828.0,2.0,6.0,-0.25383101155489735
767.0,2.0,6.0,-0.25383101155489735
764.0,2.0,6.0,-0.25383101155489735
772.0,2.0,6.0,-0.25471560142546396
767.0,2.0,6.0,-0.25471560142546396
760.0,2.0,6.0,-0.25284059178352697
751.0,2.0,6.0,-0.25284059178352697
755.0,2.0,6.0,-0.25284059178352697
684.0,2.0,6.0,-0.2676731306212493
675.0,2.0,6.0,-0.2676731306212493
656.0,2.0,6.0,-0.2676731306212493
670.0,2.0,6.0,-0.2738118819518366
653.0,2.0,6.0,-0.27143919408833556
658.0,2.0,6.0,-0.27143919408833556
665.0,2.0,6.0,-0.2720621403557489
668.0,2.0,6.0,-0.2720621403557489
660.0,2.0,6.0,-0.2720621403557489
673.0,2.0,6.0,-0.2730695299362861
667.0,2.0,6.0,-0.26682433162092534
711.0,2.0,6.0,-0.27070301291248205
754.0,2.0,6.0,-0.27070301291248205
773.0,2.0,6.0,-0.27070301291248205
769.0,2.0,6.0,-0.27176594005029237
750.0,2.0,6.0,-0.27176594005029237
773.0,3.0,5.0,-0.14777741781212878
818.0,2.0,6.0,-0.2676428935067339
820.0,2.0,6.0,-0.2676428935067339
795.0,2.0,6.0,-0.2673852609493837
815.0,2.0,6.0,-0.2673852609493837
776.0,2.0,6.0,-0.26400456642137576
814.0,2.0,6.0,-0.26400456642137576
794.0,3.0,5.0,-0.1268820289720924
768.0,3.0,5.0,-0.1268820289720924
767.0,3.0,5.0,-0.1268820289720924
754.0,3.0,5.0,-0.13151910646241188
695.0,3.0,5.0,-0.13151910646241188
709.0,3.0,5.0,-0.13151910646241188
719.0,3.0,5.0,-0.13151910646241188
725.0,3.0,5.0,-0.13151910646241188
709.0,3.0,5.0,-0.13151910646241188
667.0,3.0,5.0,-0.13151910646241188
636.0,3.0,5.0,-0.13151910646241188
635.0,3.0,5.0,-0.13151910646241188
641.0,3.0,5.0,-0.13151910646241188
689.0,3.0,5.0,-0.13151910646241188
